ALG	Fn	C
fc2	GO.0099537	87
fc2	GO.0000165	88
fc2	GO.0002431	88
fc2	GO.0002757	88
fc2	GO.0007411	88
fc2	GO.0031346	88
fc2	GO.0032535	88
fc2	GO.0034330	88
fc2	GO.0038083	88
fc2	GO.0043491	88
fc2	GO.0045216	88
fc2	GO.0002431	89
fc2	GO.0008361	89
fc2	GO.0010721	89
fc2	GO.0031098	89
fc2	GO.0031346	89
fc2	GO.0032535	89
fc2	GO.0034329	89
fc2	GO.0050768	89
fc2	GO.0050770	89
fc2	GO.0050771	89
fc2	GO.0050808	89
fc2	GO.0051403	89
fc2	GO.0007268	90
fc2	GO.0007269	90
fc2	GO.0008361	90
fc2	GO.0016079	90
fc2	GO.0030278	90
fc2	GO.0031929	90
fc2	GO.0032288	90
fc2	GO.0032869	90
fc2	GO.0034329	90
fc2	GO.0034330	90
fc2	GO.0042552	90
fc2	GO.0048660	90
fc2	GO.0050804	90
fc2	GO.0050808	90
fc2	GO.0099504	90
fc2	GO.0099531	90
fc2	GO.0099536	90
fc2	GO.0099537	90
fc2	GO.0099643	90
fc2	GO.2000300	90
fc2	GO.0031098	91
fc2	GO.0007212	92
fc2	GO.0007223	92
fc2	GO.0019933	92
fc2	GO.0042490	92
fc2	GO.0060563	92
fc2	GO.0002218	93
fc2	GO.0002224	93
fc2	GO.0002758	93
fc2	GO.0009755	93
fc2	GO.0016571	93
fc2	GO.0018205	93
fc2	GO.0032479	93
fc2	GO.0032481	93
fc2	GO.0032606	93
fc2	GO.0032608	93
fc2	GO.0032609	93
fc2	GO.0032648	93
fc2	GO.0034968	93
fc2	GO.0043406	93
fc2	GO.0043414	93
fc2	GO.0050852	93
fc2	GO.0051403	93
louvain	GO.0006364	2
louvain	GO.0006614	2
louvain	GO.0019083	2
louvain	GO.0042417	2
louvain	GO.0098877	2
louvain	GO.0099637	2
louvain	GO.0009165	10
louvain	GO.0030258	10
louvain	GO.0000165	11
louvain	GO.0061025	13
louvain	GO.0030258	14
louvain	GO.0042552	14
louvain	GO.0007269	15
louvain	GO.0007411	15
louvain	GO.0007416	15
louvain	GO.0050808	15
louvain	GO.0051963	15
louvain	GO.0099531	15
louvain	GO.0099643	15
louvain	GO.0007416	16
louvain	GO.0019722	16
louvain	GO.0031346	16
louvain	GO.0032869	16
louvain	GO.0048846	16
louvain	GO.0050807	16
louvain	GO.0050808	16
louvain	GO.0051963	16
louvain	GO.0055074	16
louvain	GO.0060074	16
louvain	GO.0086065	16
louvain2	GO.0006364	2
louvain2	GO.0006614	2
louvain2	GO.0019083	2
louvain2	GO.0042417	2
louvain2	GO.0098877	2
louvain2	GO.0099637	2
louvain2	GO.0009165	6
louvain2	GO.0030258	6
louvain2	GO.0061025	8
louvain2	GO.0030258	9
louvain2	GO.0042552	9
louvain2	GO.0007269	10
louvain2	GO.0007411	10
louvain2	GO.0007416	10
louvain2	GO.0050808	10
louvain2	GO.0051963	10
louvain2	GO.0099531	10
louvain2	GO.0099643	10
louvain2	GO.0007416	11
louvain2	GO.0019722	11
louvain2	GO.0031346	11
louvain2	GO.0032869	11
louvain2	GO.0048846	11
louvain2	GO.0050807	11
louvain2	GO.0050808	11
louvain2	GO.0051963	11
louvain2	GO.0055074	11
louvain2	GO.0060074	11
louvain2	GO.0086065	11
louvain2	GO.0001504	13
louvain2	GO.0007268	13
louvain2	GO.0007269	13
louvain2	GO.0016079	13
louvain2	GO.0016082	13
louvain2	GO.0031629	13
louvain2	GO.0050804	13
louvain2	GO.0061025	13
louvain2	GO.0098693	13
louvain2	GO.0098877	13
louvain2	GO.0099003	13
louvain2	GO.0099072	13
louvain2	GO.0099504	13
louvain2	GO.0099531	13
louvain2	GO.0099536	13
louvain2	GO.0099537	13
louvain2	GO.0099637	13
louvain2	GO.0099643	13
louvain2	GO.2000300	13
louvain2	GO.0007416	14
louvain2	GO.0009165	14
louvain2	GO.0050808	14
louvain2	GO.0010611	15
louvain2	GO.0048791	15
louvain2	GO.0099601	15
louvain2	GO.0007411	17
louvain2	GO.0008088	17
louvain2	GO.0008089	17
louvain2	GO.0008361	17
louvain2	GO.0031346	17
louvain2	GO.0032535	17
louvain2	GO.0050770	17
louvain2	GO.0061387	17
louvain2	GO.0098930	17
louvain2	GO.0006364	18
louvain2	GO.0006614	18
louvain2	GO.0019083	18
louvain2	GO.0016458	19
louvain2	GO.0018205	19
louvain2	GO.0019083	19
louvain2	GO.0042417	20
louvain2	GO.0007268	23
louvain2	GO.0007269	23
louvain2	GO.0016079	23
louvain2	GO.0016082	23
louvain2	GO.0048488	23
louvain2	GO.0061025	23
louvain2	GO.0061387	23
louvain2	GO.0099003	23
louvain2	GO.0099504	23
louvain2	GO.0099531	23
louvain2	GO.0099536	23
louvain2	GO.0099537	23
louvain2	GO.0099643	23
louvain2	GO.0016571	25
louvain2	GO.0018205	25
louvain2	GO.0034968	25
louvain2	GO.0043414	25
louvain2	GO.0051568	25
louvain2	GO.0070528	25
louvain2	GO.0016571	26
louvain2	GO.0043414	26
louvain2	GO.0030203	27
louvain2	GO.0045216	27
louvain2	GO.0016458	28
louvain2	GO.0016571	28
louvain2	GO.0018205	28
louvain2	GO.0034968	28
louvain2	GO.0043414	28
louvain2	GO.0016458	29
louvain2	GO.0016571	29
louvain2	GO.0018205	29
louvain2	GO.0032481	29
louvain2	GO.0034968	29
louvain2	GO.0043414	29
louvain2	GO.0051568	29
louvain2	GO.0009165	30
louvain2	GO.0006979	32
louvain2	GO.0007411	32
louvain2	GO.0060078	32
louvain2	GO.0086065	32
louvain2	GO.0016458	33
louvain2	GO.0018205	33
louvain2	GO.0030203	34
louvain2	GO.0002431	36
louvain2	GO.0006364	36
louvain2	GO.0050853	36
louvain2	GO.0016571	37
louvain2	GO.0034968	37
louvain2	GO.0043414	37
louvain2	GO.0051568	37
louvain2	GO.0034341	38
louvain2	GO.0060333	38
louvain2	GO.0071346	38
louvain2	GO.0086065	38
louvain2	GO.0000165	39
louvain2	GO.0002218	39
louvain2	GO.0002757	39
louvain2	GO.0002758	39
louvain2	GO.0050852	39
louvain2	GO.0048660	40
louvain2	GO.0009755	41
louvain2	GO.0016079	41
louvain2	GO.0048791	41
louvain2	GO.0061025	41
louvain2	GO.0099003	41
louvain2	GO.0099504	41
louvain2	GO.0099637	41
louvain2	GO.0010721	42
louvain2	GO.0030203	42
louvain2	GO.0050768	42
louvain2	GO.0086065	42
louvain2	GO.0002218	43
louvain2	GO.0002757	43
louvain2	GO.0002758	43
