ENTREZ.ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81
26986	0	0	0	0.0963240332020461	0	0	0	0	0	0	0	0	0	0.348529019964965	0	0	0	0	0	0	0	0.217853192289349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159191019516682	0	0	0.178102735026958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22808	0	0	0	0	0	0	0	0	0	0	0	0.180306040660956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.819693959339044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1487	0	0	0	0	0	0	0	0	0	0	0	0	0.106947543132283	0	0.149596551158858	0	0	0	0	0	0	0	0	0	0	0	0	0.370988558506613	0	0	0	0	0	0	0	0	0	0.170364332495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104295869802991	0	0	0.0550282790889965	0	0	0	0.0427788658152589	0	0	0	0	0	0	0	0	0	0	0	0
3709	0	0	0	0.536338777861623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463661222138377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1793	0	0	0	0	0	0	0	0	0	0	0	0	0.172735045428062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.827264954571938	0	0	0	0	0	0	0	0	0	0
2274	0.0197009501744515	0.0331506074772799	0	0	0	0.0351802435425372	0	0	0	0	0	0	0	0.0145675602995325	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0855763794078303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0643958669479955	0	0	0	0.0437026808985975	0	0.396748686442431	0.0576210472604912	0.146835050266849	0.0199286679629859	0	0	0	0	0	0.0541775267883	0	0	0.0284147325307186
8470	0	0	0	0	0	0	0	0.131372087524067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129313903873894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207575593050681	0	0.0704660567813954	0	0	0	0	0	0	0.352510526556577	0.0475173642020459	0	0.0612444680113393	0	0	0	0	0	0	0
6456	0	0.0251150503037721	0	0	0	0	0	0	0	0	0	0	0.0254045729465459	0.0225553124886266	0	0.0254045729465459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0557230969679209	0	0	0	0	0	0	0	0	0	0	0	0.0304372799379195	0	0.0471799751582268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128494783240228	0.560409296107362	0	0.0488387799649324	0	0	0	0	0	0	0.0304372799379195
10133	0	0.0456934477867409	0	0	0	0	0	0.0306079710735339	0	0	0.233915992071269	0.0166887136386186	0.0301196136049269	0	0	0	0	0	0	0	0	0.0250236329907428	0	0	0	0	0.0212077504255511	0.0862092494099224	0	0	0	0	0	0	0	0	0	0	0	0	0.0383424158468916	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0994481283772369	0	0	0	0.0210305777082621	0	0	0.056807009143962	0	0	0	0	0	0	0.0957062355547768	0	0.121299514064815	0	0	0	0	0	0.0442115137728823	0.0137147789792373	0	0	0.0199734555506306
22895	0	0	0	0	0	0	0	0	0	0.527694530705829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0805989985553209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39170647073885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.304893452308194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363443751782586	0	0	0	0	0	0	0	0.331662795909221	0	0	0	0	0	0	0	0	0	0
6548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213747406934099	0.414505413708894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.371747179357007	0	0	0
3688	0	0	0	0	0.0513696572196119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0424121355212753	0.0749583569102943	0	0	0	0	0.0698475828568226	0	0	0	0	0	0	0	0	0	0	0.0382832236289056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0371894213716639	0.287242263894438	0	0	0	0	0.0298637085941864	0.0821482663928425	0	0.0507457430403523	0	0	0.123583312392774	0	0	0.0435619078265869	0.0399517674133558	0	0.0288426529368909	0
1975	0	0	0	0	0	0	0	0	0.136376282180442	0.0894147768898541	0	0	0	0	0	0	0	0	0	0	0.151446723595324	0	0	0	0	0	0.0737364932138332	0	0	0	0	0	0	0	0	0	0	0.0464493497099471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0852800163215342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417296358089065	0	0	0
1981	0	0	0	0.127640619972201	0	0	0	0.185026172523183	0	0	0	0	0	0.0508996678151916	0.0629386831259036	0	0	0	0	0	0	0	0	0	0	0	0	0.0976608021175261	0	0	0	0	0	0	0	0	0	0.132748695277834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119441182357493	0	0	0	0	0	0	0	0	0	0	0	0.223644176810669	0	0	0
23163	0	0.46899956369667	0	0	0	0	0	0	0	0	0.0856448169494603	0.0382621146489446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123497411775797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0606991941646238	0	0	0	0	0	0.0923570316481954	0	0.0696681871663612	0.060871679949947	0	0	0
3265	0	0	0	0	0	0	0.0115788085958287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0089802775819514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0320005611061271	0.0244876419886044	0.122309209849609	0.582375874173186	0.0463689598226768	0.00776316703680981	0	0.0189951899564183	0	0	0	0.0362487764689697	0.00124423666934357	0	0	0	0	0.0504219833525709	0.0444324824478694	0	0	0.0127928309500348
351	0	0.0307982096182186	0	0.049355940229164	0.0542547877087246	0	0	0.0165166479063102	0.0248320317093966	0.320748909077916	0.0204021816145445	0.00806570373247775	0	0	0	0.0266802867029911	0.0161314074649555	0	0	0	0	0	0	0.00820928706394137	0	0	0.0383671814207485	0.0220521449841957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183079813768823	0	0	0	0	0	0	0.0395513289245965	0	0	0	0	0	0	0	0	0.0165166479063102	0	0.0359610401707707	0.0158996407290525	0	0	0	0	0.0373437006216162	0	0	0.117137923851977	0.0201056778852649	0	0.0441244856970944	0	0	0.0186368536028502	0	0	0	0
30011	0	0	0.0638173302386462	0	0	0	0	0	0	0	0	0.0389163910303203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0910529482198812	0.0533419826897661	0	0	0	0	0	0	0	0	0	0	0	0.0457766522696396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0400063679982191	0	0	0	0	0	0	0	0.0314034290166008	0	0	0	0	0	0	0.0687249640336165	0.143983838919352	0.229455552814942	0	0	0.0843186091941497	0	0.039563140849447	0.069638792725419	0	0	0
5195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.687505558984532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312494441015468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5193	0	0	0.117484717759873	0	0	0.161082723323799	0	0	0	0	0	0	0	0	0	0	0.398878451873895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191503904387481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131050202654953	0	0	0	0
