ENTREZ.ID	GENE.NAME	DEGREE	SR_UP	SR_DOWN
26230	TIAM2	10	0.667521122897662	0.668010409850598
5610	EIF2AK2	13	0.667264869495372	0.668033907668464
81488	POLR2M	14	0.667213386669025	0.668038850283251
10856	RUVBL2	7	0.667607325816669	0.66801992406172
5204	PFDN5	32	0.667239029301837	0.66791363631857
7410	VAV2	23	0.667147747171097	0.667988757742097
26130	GAPVD1	5	0.667776391270191	0.668009098689256
51652	CHMP3	8	0.667506181868532	0.66802665645439
3185	HNRNPF	24	0.667260797799495	0.667961097433632
6733	SRPK2	185	0.668968684240669	0.666860380112125
57448	BIRC6	13	0.667494273723132	0.66799411687726
10576	CCT2	14	0.667345913817997	0.668008707159333
869	CBLN1	2	0.667774155084956	0.668031223669824
4976	OPA1	8	0.667682146615892	0.668001236575338
51720	UIMC1	14	0.667501401963472	0.667992871367323
382	ARF6	17	0.667361009959061	0.667995976674137
5569	PKIA	5	0.667621410074204	0.668030601822958
1131	CHRM3	7	0.667440597393389	0.668044482572896
57502	NLGN4X	2	0.667870193847815	0.668017751456282
3843	IPO5	7	0.667529914865845	0.668030069836577
5901	RAN	27	0.667082992371872	0.667970080171477
10154	PLXNC1	2	0.667848860892592	0.668022394263442
8482	SEMA7A	3	0.667801438718786	0.668022609900177
7054	TH	7	0.66760485888057	0.668020394751728
171024	SYNPO2	8	0.667559123781408	0.668018468581936
4215	MAP3K3	27	0.66743552233964	0.667912863169719
1436	CSF1R	7	0.66771592601959	0.668003567867015
6772	STAT1	31	0.66729819507541	0.667911070868657
4082	MARCKS	15	0.66774158857126	0.667947296720341
10243	GPHN	11	0.667417200461814	0.668023654999019
2870	GRK6	11	0.667610319998317	0.667995084224305
4846	NOS3	29	0.667225044594889	0.667933868982624
23164	MPRIP	11	0.667585809165552	0.667995042643324
55177	RMDN3	13	0.667482882777867	0.667995580646206
3020	H3-3A	18	0.667192146761323	0.668008776269933
3021	H3-3B	10	0.667375657702231	0.66803414161047
5019	OXCT1	6	0.667652404984896	0.668022518202914
126003	TRAPPC5	5	0.667675846024764	0.668023916087547
51295	ECSIT	23	0.667106823337238	0.667987321821846
54536	EXOC6	8	0.667498558899154	0.668027377369317
2193	FARSA	9	0.667435345377408	0.668031511782058
84171	LOXL4	7	0.667595129356399	0.668020636990851
25959	KANK2	57	0.667677107201995	0.667698222673488
26057	ANKRD17	4	0.667775407601816	0.668015892727841
310	ANXA7	53	0.667295619508313	0.667780321253222
25839	COG4	7	0.667566705679632	0.668025376581779
10466	COG5	4	0.667715888961795	0.668026923573752
22859	ADGRL1	6	0.667657642139259	0.668018113056808
22872	SEC31A	6	0.667693204145676	0.668013782630564
23345	SYNE1	15	0.667443528184877	0.667990814746113
23086	EXPH5	2	0.66791418466664	0.668011448128855
23384	SPECC1L	4	0.667725131675247	0.66802298102478
11335	CBX3	9	0.667493011956921	0.668023456106845
23580	CDC42EP4	8	0.667876739921447	0.667976404063287
9578	CDC42BPB	14	0.667552204707966	0.667980712266806
4512	COX1	5	0.667738163385703	0.668014236060615
1730	DIAPH2	2	0.667893281836738	0.66801411933796
8924	HERC2	6	0.66775453435259	0.668005106863855
8888	MCM3AP	11	0.667573644714684	0.667997092190412
56924	PAK6	13	0.667569037204244	0.667984983694728
9743	ARHGAP32	17	0.667699968404903	0.667940441805637
5910	RAP1GDS1	21	0.667308335818613	0.667984538389309
9349	RPL23	4	0.667759617841207	0.668018692194141
6146	RPL22	9	0.667599641124121	0.668008184858704
152503	SH3D19	3	0.6678347229131	0.668015049745006
8976	WASL	39	0.667320819456817	0.667867275012019
25930	PTPN23	12	0.667556704659627	0.667994233777824
282974	STK32C	3	0.667884660755089	0.668008368142713
147179	WIPF2	6	0.667679610180376	0.668021279061398
5604	MAP2K1	23	0.667510323939308	0.667926464741351
4294	MAP3K10	13	0.66734312922477	0.668019544813674
11064	CNTRL	108	0.66827061755511	0.667328663658071
8349	H2BC21	92	0.667070078534363	0.667647792846487
136319	MTPN	7	0.6677532118722	0.667998259523689
5602	MAPK10	12	0.667411587784744	0.668013568022335
11221	DUSP10	10	0.667502772239274	0.668013107943083
4208	MEF2C	14	0.667298357648322	0.668018699459754
22837	COBLL1	3	0.667846133970491	0.668013502427944
23301	EHBP1	13	0.667885337371028	0.667940970166135
23236	PLCB1	13	0.667640709700127	0.667975301428814
23229	ARHGEF9	3	0.667752935677256	0.668026258668322
2125	EVPL	2	0.66779550620275	0.668028006694799
283234	CCDC88B	15	0.667470765369831	0.667983943238153
3895	KTN1	21	0.667358939550599	0.667968702408241
3913	LAMB2	2	0.667848195992174	0.668020098576489
54477	PLEKHA5	31	0.667267465800189	0.667925308901285
5339	PLEC	53	0.666700064752025	0.667883674552858
22874	PLEKHA6	3	0.667836186241834	0.668014942059899
140710	SOGA1	7	0.66756378262903	0.668025394446252
23387	SIK3	4	0.66772260894134	0.668023735439751
50649	ARHGEF4	7	0.667627537914605	0.668018276417472
57514	ARHGAP31	3	0.667865694343552	0.668010927041235
51742	ARID4B	9	0.667658798060901	0.667998050305021
5903	RANBP2	24	0.667205602413094	0.667966086308102
4509	ATP8	4	0.667745663372454	0.668020482230567
3069	HDLBP	9	0.667493165791731	0.668028260858951
4513	COX2	9	0.667613897199971	0.668005840374643
3097	HIVEP2	4	0.667760450970368	0.668017824029749
6744	ITPRID2	9	0.66763162172587	0.668001189836913
23108	RAP1GAP2	3	0.66780962696137	0.668018182281361
64926	RASAL3	16	0.667504132191509	0.667973619519793
55835	CENPJ	77	0.667507125965062	0.667617043334169
11346	SYNPO	6	0.667678509979015	0.668015159777471
54737	MPHOSPH8	4	0.667769718606781	0.668016837256567
10105	PPIF	14	0.667688306864071	0.66796241812618
773	CACNA1A	47	0.666498917181219	0.667950929313747
23504	RIMBP2	3	0.667733328200691	0.668029756069694
10549	PRDX4	13	0.667419660504366	0.668007589775753
10130	PDIA6	17	0.6671629557817	0.668024450647627
51222	ZNF219	9	0.667532285067664	0.668014875861223
8202	NCOA3	25	0.667328690221642	0.66794462975281
9126	SMC3	19	0.667507317305701	0.667957099173024
109	ADCY3	1	0.66794260045987	0.668014679717605
116931	MED12L	4	0.667776673255987	0.668016863535487
10452	TOMM40	5	0.667779136133274	0.668008565847312
27445	PCLO	8	0.66761855265798	0.668010097813843
116984	ARAP2	4	0.667830058697217	0.668009207370498
129807	NEU4	3	0.667809290471261	0.668018384773928
1002	CDH4	1	0.66794260045987	0.668014679717605
27005	USP21	28	0.667096826114601	0.667959416917035
29	ABR	4	0.667821176132481	0.668009851509943
1128	CHRM1	1	0.66794260045987	0.668014679717605
23203	PMPCA	5	0.667783341109202	0.668009388658908
1786	DNMT1	18	0.667663079745095	0.667938126740247
221692	PHACTR1	4	0.667791403248045	0.668014414326515
10125	RASGRP1	2	0.667907333661879	0.66801229954768
10579	TACC2	8	0.667602889121709	0.668014721573134
23191	CYFIP1	14	0.667741887176924	0.667955163867189
2332	FMR1	147	0.667940877726224	0.667210711736613
26999	CYFIP2	8	0.667732496292689	0.667995310020191
3054	HCFC1	13	0.66748353546949	0.667997180937564
3912	LAMB1	10	0.66746335493374	0.668023438470132
439	GET3	15	0.667171382720319	0.668031706953228
375790	AGRN	3	0.667826153071484	0.66801607326846
25822	DNAJB5	4	0.667667310667734	0.668031433013497
3339	HSPG2	5	0.66758852848963	0.668037721312554
3996	LLGL1	6	0.667879748704382	0.667988880124097
4145	MATK	10	0.667674929747669	0.667989454552886
1954	MEGF8	1	0.66791181714925	0.668018713304208
375056	MIA3	11	0.667644295785563	0.667987316241837
6160	RPL31	9	0.667585206438886	0.668015078421902
5730	PTGDS	7	0.667617590891969	0.6680204398549
6426	SRSF1	13	0.667406614619709	0.668007338670166
7450	VWF	12	0.66747771078382	0.668003027562011
6293	VPS52	47	0.667182230496694	0.667835220500486
