C	Cn	ADonly	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	HTNonly	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	ADandHTN	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	ADorHTN	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	other	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
25	41	401	2	3.41312	0.56256	[0.14,2.34]	0.64861	1	0.1		0.383169	1		191	5	1.6257	3.42742	[1.33,8.83]	0.0336041	0.715518	0.1		1	1		107	0	0.910733	0	[0.00,0.00]	1	1	0.1		1	1		699	7	5.94955	1.21506	[0.54,2.75]	0.835999	1	0.1		0.987266	1		4118	34	35.0504	0.823003	[0.36,1.86]	0.768912	1	0.1		0.296089	1		
26	25	401	0	2.08117	0	[0.00,0.00]	1	1	0.1		1	1		191	1	0.991281	1.00921	[0.14,7.50]	1	1	0.1		0.752767	1		107	0	0.555325	0	[0.00,0.00]	1	1	0.1		1	1		699	1	3.62778	0.244389	[0.03,1.81]	0.206941	1	0.1		0.167662	1		4118	24	21.3722	4.09184	[0.55,30.30]	0.286555	1	0.1		1	1		
27	12	401	3	0.998962	3.69095	[1.00,13.69]	0.115874	1	0.1		1	1		191	3	0.475815	8.18617	[2.20,30.48]	0.0188715	0.458218	0.1		1	1		107	0	0.266556	0	[0.00,0.00]	1	1	0.1		1	1		699	6	1.74133	5.93362	[1.91,18.45]	0.00665873	0.184316	0.1		1	1		4118	6	10.2587	0.168531	[0.05,0.52]	0.00772942	0.205724	0.1		0.00665873	0.485042		
28	62	401	11	5.1613	2.41403	[1.25,4.67]	0.0243463	0.552388	0.1		1	1		191	0	2.45838	0	[0.00,0.00]	1	1	0.1		1	1		107	1	1.37721	0.718992	[0.10,5.24]	1	1	0.1		0.70256	1		699	12	8.99689	1.42114	[0.75,2.68]	0.340782	1	0.1		1	1		4118	50	53.0031	0.703663	[0.37,1.33]	0.358955	1	0.1		0.148484	1		
29	14	401	1	1.16546	0.846731	[0.11,6.49]	1	1	0.1		0.753947	1		191	0	0.555117	0	[0.00,0.00]	1	1	0.1		1	1		107	1	0.310982	3.40856	[0.44,26.29]	0.465537	1	0.1		1	1		699	2	2.03155	0.981827	[0.22,4.40]	1	1	0.1		0.584806	1		4118	12	11.9684	1.01851	[0.23,4.56]	1	1	0.1		0.584806	1		
30	284	401	5	23.6421	0.187222	[0.08,0.46]	2.61409e-06	0.000259662	0.1	***	2.1482e-06	0.000506931	***	191	13	11.261	1.17366	[0.66,2.09]	0.594407	1	0.1		1	1		107	4	6.30849	0.614424	[0.22,1.68]	0.468788	1	0.1		0.237907	1		699	22	41.2115	0.478266	[0.31,0.74]	0.000513165	0.0202923	0.1		0.000278701	0.0296713		4118	262	242.788	2.09089	[1.34,3.26]	0.00072468	0.0278603	0.1		1	1		
31	379	401	25	31.5506	0.762937	[0.50,1.16]	0.237095	1	0.1		0.0721849	1		191	37	15.0278	3.00957	[2.07,4.38]	2.03267e-07	4.68874e-05	0.1	***	1	1		107	26	8.41873	3.96188	[2.51,6.24]	1.76038e-07	4.68874e-05	0.1	***	1	1		699	88	54.9971	1.89412	[1.47,2.44]	2.6266e-06	0.000259662	0.1	***	1	1		4118	291	324.003	0.52795	[0.41,0.68]	3.18542e-06	0.000275542	0.1	***	1.55024e-06	0.000506931	***	
32	42	401	1	3.49637	0.266768	[0.04,1.94]	0.247883	1	0.1		0.196769	1		191	0	1.66535	0	[0.00,0.00]	1	1	0.1		1	1		107	0	0.932946	0	[0.00,0.00]	1	1	0.1		1	1		699	1	6.09466	0.142463	[0.02,1.04]	0.0219704	0.513703	0.1		0.0192914	1		4118	41	35.9053	7.01938	[0.96,51.11]	0.0463176	0.942711	0.1		1	1		
33	118	401	24	9.82313	2.92703	[1.85,4.64]	3.73928e-05	0.0018483	0.1	**	1	1		191	0	4.67885	0	[0.00,0.00]	1	1	0.1		1	1		107	5	2.62113	1.99419	[0.80,4.99]	0.285458	1	0.1		1	1		699	29	17.1231	1.95943	[1.28,3.00]	0.0043153	0.127073	0.1		1	1		4118	89	100.877	0.510352	[0.33,0.78]	0.00470487	0.135659	0.1		0.00246887	0.200997		
34	299	401	31	24.8908	1.29677	[0.88,1.91]	0.227851	1	0.1		1	1		191	8	11.8557	0.651231	[0.32,1.34]	0.302072	1	0.1		0.13292	1		107	7	6.64169	1.05911	[0.49,2.30]	0.986292	1	0.1		0.63127	1		699	46	43.3882	1.07615	[0.78,1.49]	0.753898	1	0.1		0.776874	1		4118	253	255.612	0.929237	[0.67,1.29]	0.708976	1	0.1		0.119874	1		
35	220	401	6	18.3143	0.298261	[0.13,0.68]	0.000922573	0.0340276	0.1		0.000666109	0.0658505		191	11	8.72327	1.29152	[0.69,2.41]	0.431871	1	0.1		1	1		107	0	4.88686	0	[0.00,0.00]	1	1	0.1		1	1		699	17	31.9244	0.480729	[0.29,0.79]	0.00255276	0.0785126	0.1		0.00139365	0.120552		4118	203	188.076	2.08017	[1.26,3.43]	0.00342621	0.103086	0.1		1	1		
36	68	401	8	5.66078	1.47786	[0.70,3.11]	0.323751	1	0.1		1	1		191	12	2.69628	5.47087	[2.88,10.39]	1.84671e-05	0.00106495	0.1	**	1	1		107	6	1.51048	4.45353	[1.88,10.53]	0.00608574	0.171893	0.1		1	1		699	26	9.86755	3.74924	[2.28,6.16]	1.57552e-06	0.000218054	0.1	***	1	1		4118	42	58.1324	0.266721	[0.16,0.44]	2.10574e-06	0.000253465	0.1	***	1.57552e-06	0.000506931	***	
37	112	401	8	9.32365	0.844001	[0.41,1.75]	0.809166	1	0.1		0.26227	1		191	2	4.44094	0.43444	[0.11,1.77]	0.342696	1	0.1		0.225659	1		107	0	2.48786	0	[0.00,0.00]	1	1	0.1		1	1		699	10	16.2524	0.571445	[0.30,1.10]	0.105911	1	0.1		0.0518267	1		4118	102	95.7476	1.74995	[0.91,3.37]	0.151031	1	0.1		1	1		
38	15	401	4	1.2487	4.03481	[1.28,12.73]	0.0501136	0.976875	0.1		1	1		191	7	0.594769	21.9606	[7.88,61.21]	1.30423e-06	0.000200564	0.1	***	1	1		107	0	0.333195	0	[0.00,0.00]	1	1	0.1		1	1		699	11	2.17667	16.444	[5.22,51.79]	8.2605e-07	0.000151187	0.1	***	1	1		4118	4	12.8233	0.0608123	[0.02,0.19]	8.73902e-07	0.000151187	0.1	***	8.2605e-07	0.000506931	***	
39	72	401	4	5.99377	0.644244	[0.23,1.78]	0.544571	1	0.1		0.267848	1		191	0	2.85489	0	[0.00,0.00]	1	1	0.1		1	1		107	2	1.59934	1.26259	[0.31,5.22]	0.920042	1	0.1		1	1		699	6	10.448	0.531549	[0.23,1.23]	0.170533	1	0.1		0.0924457	1		4118	66	61.552	1.88129	[0.81,4.36]	0.272669	1	0.1		1	1		
40	33	401	12	2.74715	6.45611	[3.15,13.22]	1.14183e-05	0.000718324	0.1	**	1	1		191	2	1.30849	1.56853	[0.37,6.60]	0.475506	1	0.1		1	1		107	0	0.733029	0	[0.00,0.00]	1	1	0.1		1	1		699	14	4.78867	4.40922	[2.20,8.84]	0.000143565	0.00640955	0.1	*	1	1		4118	19	28.2113	0.226797	[0.11,0.45]	0.000180758	0.00781787	0.1	*	0.000143565	0.0180633	*	
41	45	401	1	3.74611	0.248409	[0.03,1.81]	0.201432	1	0.1		0.162147	1		191	0	1.78431	0	[0.00,0.00]	1	1	0.1		1	1		107	0	0.999585	0	[0.00,0.00]	1	1	0.1		1	1		699	1	6.53	0.132652	[0.02,0.96]	0.0145303	0.359111	0.1		0.0128642	0.809284		4118	44	38.47	7.53854	[1.04,54.81]	0.0316126	0.683631	0.1		1	1		
42	125	401	0	10.4059	0	[0.00,0.00]	1	1	0.1		1	1		191	11	4.9564	2.41871	[1.28,4.57]	0.0249141	0.556155	0.1		1	1		107	0	2.77662	0	[0.00,0.00]	1	1	0.1		1	1		699	11	18.1389	0.561557	[0.30,1.05]	0.0754652	1	0.1		0.0371956	1		4118	114	106.861	1.78076	[0.95,3.32]	0.104066	1	0.1		1	1		
43	292	401	48	24.3081	2.32499	[1.67,3.23]	3.96318e-06	0.000322653	0.1	***	1	1		191	11	11.5782	0.944939	[0.51,1.76]	1	1	0.1		0.246678	1		107	32	6.48619	7.30256	[4.74,11.25]	1.15609e-14	1.60005e-11	0.1	***	1	1		699	91	42.3724	2.91672	[2.24,3.79]	8.39744e-14	4.4008e-11	0.1	***	1	1		4118	201	249.628	0.34285	[0.26,0.45]	9.53918e-14	4.4008e-11	0.1	***	6.3331e-14	8.76512e-11	***	
44	86	401	25	7.15923	4.7469	[2.95,7.65]	2.06411e-08	7.14192e-06	0.1	***	1	1		191	1	3.41001	0.281176	[0.04,2.03]	0.275762	1	0.1		0.216038	1		107	4	1.91032	2.19181	[0.79,6.09]	0.163465	1	0.1		1	1		699	30	12.4796	3.25272	[2.07,5.11]	2.19765e-06	0.000253465	0.1	***	1	1		4118	56	73.5204	0.307435	[0.20,0.48]	3.10223e-06	0.000275542	0.1	***	2.19765e-06	0.000506931	***	
45	41	401	1	3.41312	0.2735	[0.04,1.99]	0.26544	1	0.1		0.209641	1		191	7	1.6257	5.13811	[2.25,11.74]	0.00164547	0.0533526	0.1		1	1		107	3	0.910733	3.54656	[1.08,11.67]	0.0988012	1	0.1		1	1		699	11	5.94955	2.17868	[1.09,4.37]	0.0591131	1	0.1		1	1		4118	30	35.0504	0.458993	[0.23,0.92]	0.0560593	1	0.1		0.0339194	1		
46	82	401	16	6.82624	2.73908	[1.57,4.78]	0.00129883	0.043844	0.1		1	1		191	2	3.2514	0.601323	[0.15,2.46]	0.723853	1	0.1		0.410764	1		107	0	1.82147	0	[0.00,0.00]	1	1	0.1		1	1		699	18	11.8991	1.67428	[0.99,2.84]	0.0702163	1	0.1		1	1		4118	64	70.1009	0.59727	[0.35,1.01]	0.0872929	1	0.1		0.0409894	1		
