HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value	HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value	HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value
DOID:3312	Bipolar_disorder	BD	127	DOID:14330	Parkinson's_disease	PD	108	-0.206989197272327	.	YES	-1.39880627386815	0.161871084428314	Smaller	.	0.420864819513616	DOID:3312	Bipolar_disorder	BD	188	DOID:14330	Parkinson's_disease	PD	167	-0.147928820213932	.	YES	-0.92676070304401	0.354050792317519	Smaller	.	0.65752290001825	DOID:3312	Bipolar_disorder	BD	297	DOID:14330	Parkinson's_disease	PD	222	-0.117133949503891	.	YES	-0.81443864513152	0.415393707406177	Smaller	.	0.623090561109265
DOID:3312	Bipolar_disorder	BD	127	DOID:9255	Frontotemporal_dementia	FTD	81	-0.0741203423290036	.	YES	0.217772969398147	0.827606006402254	larger	.	1	DOID:3312	Bipolar_disorder	BD	188	DOID:9255	Frontotemporal_dementia	FTD	102	-0.0344047156646958	.	YES	0.410210434817245	0.681651586940656	larger	.	0.98460784780317	DOID:3312	Bipolar_disorder	BD	297	DOID:9255	Frontotemporal_dementia	FTD	121	0.030077489407633	YES	.	1.11335479153704	0.265556083056475	larger	.	0.460297210631223
DOID:3312	Bipolar_disorder	BD	127	DOID:2377	Multiple_Sclerosis	MS	96	-0.131554139743182	.	YES	-0.358564173882708	0.719921151975237	Smaller	.	1	DOID:3312	Bipolar_disorder	BD	188	DOID:2377	Multiple_Sclerosis	MS	134	-0.14657196704465	.	YES	-1.21728297721056	0.223496568755729	Smaller	.	0.458756114814391	DOID:3312	Bipolar_disorder	BD	297	DOID:2377	Multiple_Sclerosis	MS	199	-0.162861834151751	.	YES	-2.18116651282077	0.0291711027033447	Smaller	.	0.0842720744763291
DOID:12849	Autistic_disorder	AUT	95	DOID:12849	Autistic_disorder	AUT	95	0	.	.	0	1	larger	.	1	DOID:12849	Autistic_disorder	AUT	153	DOID:12849	Autistic_disorder	AUT	153	0	.	.	0	1	larger	.	1	DOID:12849	Autistic_disorder	AUT	209	DOID:12849	Autistic_disorder	AUT	209	0	.	.	0	1	larger	.	1
DOID:12849	Autistic_disorder	AUT	95	DOID:5419	Schizophrenia	SCH	366	-0.190046958725358	.	YES	-3.37381417039519	0.000741343958042196	Smaller	.	0.00706286049027927	DOID:12849	Autistic_disorder	AUT	153	DOID:5419	Schizophrenia	SCH	535	-0.239346927280657	.	YES	-5.49642382218798	3.87570401393638e-08	Smaller	***	6.04609826174075e-07	DOID:12849	Autistic_disorder	AUT	209	DOID:5419	Schizophrenia	SCH	694	-0.295416160717273	.	YES	-8.57781802356056	9.66897575053262e-18	Smaller	***	1.50836021708309e-16
DOID:12849	Autistic_disorder	AUT	95	DOID:0060041	Autism_Spectrum_Disorder	ASD	97	-1.59902502712968	.	YES	-21.1678833574987	1.88850480460393e-99	Smaller	***	1.47303374759107e-97	DOID:12849	Autistic_disorder	AUT	153	DOID:0060041	Autism_Spectrum_Disorder	ASD	154	-1.52770354020594	.	YES	-27.4788234040369	3.14473807195902e-166	Smaller	***	2.45289569612804e-164	DOID:12849	Autistic_disorder	AUT	209	DOID:0060041	Autism_Spectrum_Disorder	ASD	212	-1.54632970845198	.	YES	-34.9624105687593	8.38837873094712e-268	Smaller	***	6.54293541013875e-266
DOID:12849	Autistic_disorder	AUT	95	DOID:1826	Epilepsy_syndrome	Epi	138	-0.318736802820636	.	YES	-3.26379262356297	0.00109931596869673	Smaller	.	0.0085746645558345	DOID:12849	Autistic_disorder	AUT	153	DOID:1826	Epilepsy_syndrome	Epi	228	-0.182378470106098	.	YES	-1.81685140732652	0.0692398688706776	Smaller	.	0.221980282491253	DOID:12849	Autistic_disorder	AUT	209	DOID:1826	Epilepsy_syndrome	Epi	288	-0.179918977581598	.	YES	-2.46006654935982	0.0138911254924735	Smaller	.	0.0515956089720444
DOID:12849	Autistic_disorder	AUT	95	DOID:1059	Intellectual_Disability	ID	103	-0.301062748073479	.	YES	-2.81697860571146	0.00484777547772997	Smaller	.	0.0252084324841958	DOID:12849	Autistic_disorder	AUT	153	DOID:1059	Intellectual_Disability	ID	159	-0.274807431438952	.	YES	-3.47726441624981	0.000506557989514274	Smaller	*	0.00329262693184278	DOID:12849	Autistic_disorder	AUT	209	DOID:1059	Intellectual_Disability	ID	240	-0.302584335915715	.	YES	-5.42187924916231	5.89757168301344e-08	Smaller	***	5.11122879194498e-07
DOID:12849	Autistic_disorder	AUT	95	DOID:10763	Hypertension	HTN	132	-0.0621115514055464	.	YES	0.660993413176888	0.508616537730017	larger	.	0.862436737890029	DOID:12849	Autistic_disorder	AUT	153	DOID:10763	Hypertension	HTN	195	-0.11297827707564	.	YES	-0.348424177305722	0.727521647859179	Smaller	.	0.995555939175719	DOID:12849	Autistic_disorder	AUT	209	DOID:10763	Hypertension	HTN	298	-0.103226784808449	.	YES	-0.589787918988223	0.555332843110881	Smaller	.	0.773499317190156
DOID:12849	Autistic_disorder	AUT	95	DOID:12858	Huntington's_disease	HD	43	-0.0852145530661841	.	YES	-0.682844255551408	0.494705261534597	Smaller	.	0.862436737890029	DOID:12849	Autistic_disorder	AUT	153	DOID:12858	Huntington's_disease	HD	58	0.00335315800885927	YES	.	0.0693846876195598	0.944683417052832	larger	.	1	DOID:12849	Autistic_disorder	AUT	209	DOID:12858	Huntington's_disease	HD	84	-0.0402651058300421	.	YES	-0.724951480822401	0.468481796605977	Smaller	.	0.689463776137098
