id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
10	0	0	0	1.27884198386475e-06	0	0	1.94296576048229e-20	0	0	1.11658124163544e-14	0	0	0	0	8.25891670464189e-87	0	0	0	0	0	0	0	0.999384272967037	0	0	0	0	0	0	0	0	0	0	0	0	0.000614448190967948	0	4.7074770648561e-51	0	0	0	0	0	0	0	0
11	0	0	0	0.645761068355378	0.00369345777227261	0.00420148406348682	0.105840364351166	0	0.00996548751927676	0.00496447265163011	0.000864184771968373	0	0.00809286362652436	0	7.92432256822257e-05	0.00632632971835761	0.00912699072332005	0.00244587880660679	0.02592648609317	7.10560066249044e-13	1.50781325827582e-10	0	0.0287868044758918	0	0.000581104156304499	6.34920627391029e-23	0	2.05272322019128e-09	0.050422886546317	0.0258817116378976	0.00566124236062647	0	0.00797209459605084	0	0.0197412951996372	0.00671687822231568	0.00352502752296875	0.00272095809545567	0.000341599255500987	0.00375418632524336	0	0	0.0158376486291868	0.000768249093548393	0	0
12	3.10551853246652e-49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00504090464631759	0	0	0	0	0	0	0	0	0	1.41485092275639e-60	0	0	0.994959095353682	0	0	0	0	0	0	0	0	0	0	3.77990181337058e-18	0	0	0	0	0	0
13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0.0195831350666795	0.00333137973921795	0.0490586901348892	0	1.99827839638393e-07	0.118267943416336	5.0454436408642e-05	7.29022543534714e-05	0	0.00353313835722303	0	0.00100301715392709	0	0	0.311721131907766	0.00506722444353104	0	0	0	0	0	0.00841113643341107	8.47379400067648e-07	0	0	0.00302207692813854	0.00232567882885593	6.38178914124324e-05	0.00315366149594067	0.0714087124751174	0	0	0.335285958014776	0.0543695132960236	0.000116893224587393	0	0.00140419405029318	4.48326516053103e-05	0	5.10246804192999e-05	5.29403402744013e-05	0.00859949557157279	0
15	0	0	0	0.00518096932135089	6.09837372986614e-06	0.00226349581278628	0	0	0.755065543711424	2.94335368254592e-09	4.74188224107423e-05	0	0	0	2.00359885676869e-11	1.40639647780404e-11	0	0.0014648313361976	0	1.90552826503777e-05	0	0.00377615896366207	0	0	0.000469348081177978	2.28323841730502e-07	0	0	0.00736656359478678	0.00435409727934305	0.00487580702282182	2.58568501980327e-05	0.00347485976210469	0.000318791018831761	0.00395586048456893	0.00150566648571052	3.56152712701026e-05	0	0.00815094396554661	0.000136102615053777	8.91119056433732e-05	0	0.157661134217958	0.00850362468928807	0.0312528131861954	6.43993530832105e-10
16	0	0	0	0	0	6.58761272120854e-24	0	0.00972989687961791	0.00275603015518491	0.000944392315797314	0.000129225688559037	0	0.0396676047477412	0	0.0011386136172621	0.000985753573064219	0.413197994496941	0.00236977134989751	3.67383128937799e-21	0.000239516849930231	0.0969974079895108	0	0	9.76363156969949e-05	0	0.0286356333325184	0.00289486490874244	3.29661932402111e-31	0.00227131402894951	0	0.00222574714486395	0	0.00102245957656511	0.000767786762715947	0	0.00501548205843821	0	0	0.000478344893193469	0.0217227393438633	0.0781794364200942	0	0.00976158297550523	4.37129998182137e-22	0	0.278770764575347
17	0	0	3.11821789677822e-09	0.018864175694608	0.426807357857269	0	0.0291536753180674	0.09852421297061	0.000263559870184939	0.00175433453282705	0	0	0.00284454060333995	0.00761514665601477	0.0183421998515494	0	0	0.0016312323395842	0.0189899023496541	0.0159708257460089	0	0.00359113257933903	0.123689690043335	0.000250125443017926	0	0.00606726685606423	0	0.00207973488325316	1.97686043125124e-09	0.00281500659730557	0	0.00629715714976516	0.00479978074601687	0.0125254836613298	0.0377969284319596	0.00610635455659725	0.127793485924325	1.30393572869251e-09	0	0.00239490714522559	0.00138771216475953	0	0.0216440636289748	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	2.36751490208352e-23	0	1.8888558815216e-12	0	0	9.16155983000853e-06	0	0.00144426323491566	0	0.000403991822160245	0	0.00021992765447036	0	0	0	0.761554324252368	0	0	0.000608934784628561	0.17897076418214	1.35726526837008e-11	0.00215672154967491	0	2.87247633939048e-06	0	3.08148236642506e-10	0	0.0277204338357365	1.09183441216996e-06	0	0	0	1.53124115548789e-10	0	0.026907512336591	0	0	0	1.45274994862181e-26	0	0
20	0	0	0.00271788368473313	0.0119488838399089	0.0080713377447865	0.00184785447107378	0.00343813102664239	0.0090553950399508	0.0113538805718174	0.00329294316268551	0.000347460099574072	0	0.00339291955604239	0.0154513471392726	0.00265076671714435	0.00274293138390326	0.0654832038545488	0.0258138896741949	0.0249283000528622	0.00744479981438121	0.0183507162138583	0.0583340703813732	0	0.000790438880470285	0.0129794855219773	0.00972171210330362	0.00637602479915501	0.0122926315725309	0.00987131384264641	0.00197966782830449	0.00894050525986865	0.0148372000308966	0.00560608221214756	0.0033404470617721	0.0114805738353934	0.00614793349535759	0.00547469866255446	0.196417585607116	0.0233626374544726	0.0495646661336354	0.00770517140231518	0	0.00933270333965389	0.0540309062260707	0.242923342932593	0.030157557369011
21	0	0	0	0	0	0	0	0	0	0	3.61640497722457e-08	0	0	0	0	0	0	0	3.59439933906421e-167	0	0.00948356638915466	0	0	0	0	0	0	2.07420858165368e-176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.990516397446796
22	0	2.23881129482272e-09	0	2.1855639460387e-07	0.000392473599024298	0.000944326312883401	0	0	0.0804905289691838	3.33311671468984e-09	2.25991518911589e-10	0	1.16189451003772e-05	0	4.51319835594001e-08	6.43645516443563e-11	0.0249581611648411	0	0	0	0.0860360415013023	0	0	0	0.0511648997724081	4.43324661402457e-12	0	0	1.96304963227209e-07	0.0036524523338407	3.08168379637412e-07	0.000125414369691566	0.0845156230668608	0	3.65799757433929e-12	0.0747869868845438	0.00145084797823272	0	0	0.000209767225304081	0	0	0.591260083844687	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.14504916020766e-88	0	0	0.860647793083458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139352206916543	0	0	0	0	0	0	0	0	0	0
24	2.21515608091335e-20	0	0	0.140370941957169	0	0.0458994777251462	0	0	0.000742505217473399	5.06615025124426e-76	0.0169989239351803	0	0	0	6.0366525177817e-41	1.23526937691902e-32	0	1.72394291975081e-07	0	3.2710814388025e-33	0	0	0.00369030370289752	0	0.00583062679105164	0	0	0	0.628843723942219	0	5.12976438778245e-09	0	0.0422115101028499	0	0	0.0219010435717965	0	0	0	4.04717867685413e-06	0.0864034052862814	2.52296846887322e-11	0.00534141938662729	0	0.00176189365334553	0
25	0.0186571660558113	0.0247780323413032	0.00568181766231632	0.0466547387794031	0.0132429417984114	0.00694823522567677	0.0184551748685249	7.82937659669179e-09	0.0174346762723424	0.0132593841916872	0.00252538774021815	0.0314809405638818	0.346951819701795	1.78029230100256e-10	1.94469794291764e-11	0.00743593152157009	0.0156309413212224	0.0157684010114678	0	6.60914681566293e-11	0.0248460180713572	0	0.0349819447814589	0	0.00490369948806479	2.69945839238172e-10	0.0118130322086379	0.00173345147012929	0.012007484427155	0.0137665826348519	0.011281365487429	0.0633705327435888	0.00690055441004933	0.0151835313809271	0	0.0811952468260426	0.0125311924782937	0.0195878399323122	0.014514533352624	0.0273073334952303	0.0364670966964142	0	4.01729566132226e-10	0.0227029622951825	0	0
26	0	0	0	0.0754429684902441	8.82853378188371e-05	0.0301969579292606	0	0.00193623667721993	0.0252441422956086	0	0.000231433912242311	0	0.00317320827540926	0	1.99104427822707e-12	0.0415726731900153	2.73504985385835e-11	0.0347472010279708	1.98218204875225e-05	0	0.00216725944293266	0.471349328544992	0	0.000432742324669225	0.115845191335157	6.01280219277088e-05	0	8.6239304152964e-16	0.0223112003646098	0.0633373590422863	2.87642357411043e-05	0.000914003912162575	0.0247279679515045	0	0	0.00958464880506693	0.0439248846690327	9.75120922499364e-06	0.00631019608406473	0.00569712137842063	0	0	0.012325318526905	0.00832120516568234	0	0
27	0	0	0	0.404052060418512	0.0022352375424697	0.0113818140295076	0.0829493162713424	6.88263539169286e-08	0.000847666168779368	0.00288508732595637	0.00406306152100157	0.0223340058229357	0.00287870738244348	0	0.00300081961801607	0.0323627455894116	4.515786593565e-07	0.0163076407105943	0.0181567050973332	0.000274244473671469	3.94722448734374e-24	0.227362075297043	0.0570271898107794	0.000813221305702849	0.00265386727604771	1.77091882969792e-06	0.00374591233860681	0.00683953223445714	0.0116874664575827	0.0194794345071173	9.95694432781395e-08	0	0.0199869113090672	0.00606135623091405	4.64391211875368e-06	0.0172932373052735	0.00735854111829682	0.00201911941974887	0.0021230630185757	0.00369290595366845	0.00400161382159679	0	2.59886724484963e-07	0	0.00411814593141663	0
28	0	0	0.846715798490093	0	0	0	0	0	0	0	0.00262958987248314	0	0	0	0.000470366966036796	0	0	0	0	5.00830369196125e-12	0	0	0	0	0.0814952780162738	4.00222459234841e-27	0	0	0	0	0.000551136171815653	6.17074453931252e-05	0	0	0	0	0.00267065249182427	0	0	0	0	0	0.0654054705410723	0	0	0
29	0	0	0.999597054316413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33228432865857e-06	0	0	0	0	0.000387149711219762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24636880380982e-05	0	0	0
30	0	0	0.984942329357433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0137344880067792	0	0	0	0	0	0	0	0	0	0	0.00102358045499013	0	0	0	0	0.000299602180797623	0	0	0	0	0	0	0	0	0	0
