id	name	K
611	146754	44
612	1468	4
613	1471	5
614	147179	22
615	1476	44
616	147746	29
617	147906	44
618	148252	24
619	148281	36
620	1487	17
621	148753	30
622	1488	17
623	149111	11
624	149371	13
625	149465	3
626	1495	10
627	149699	37
628	1499	14
629	1500	10
630	1501	35
631	150209	16
632	1503	37
633	1508	29
634	1509	39
635	150962	36
636	151011	23
637	151056	7
638	151393	7
639	151742	28
640	151963	19
641	152007	44
642	152100	37
643	152185	2
644	152206	13
645	1523	20
646	152330	44
647	152404	22
648	152485	21
649	1525	20
650	152503	6
651	152789	36
652	1528	3
653	153090	40
654	1537	16
655	153733	19
656	1540	26
657	154043	36
658	154661	34
659	154796	42
660	154810	6
661	156	28
662	157285	9
663	157378	7
664	157680	45
665	157807	44
666	157922	26
667	158	19
668	158471	43
669	1595	45
670	159989	2
671	16	31
672	160	45
673	1600	6
674	1602	35
675	160418	7
676	1605	25
677	160622	37
678	161	37
679	1610	43
680	1612	28
681	1613	30
682	161436	37
683	1615	42
684	161725	22
685	161742	40
686	162	35
687	1620	3
688	1622	24
689	1627	32
690	1629	26
691	163	25
692	1630	3
693	1632	16
694	163259	43
695	1636	39
696	1639	2
697	164	36
698	1641	36
699	1642	5
700	1645	28
701	1650	6
702	165215	33
703	1653	17
704	1654	30
705	1655	29
706	1656	42
707	1657	17
708	1660	29
709	1662	21
710	166336	44
711	1665	36
712	1666	39
713	166614	39
714	166647	6
715	166785	44
716	1674	42
717	167691	2
718	1678	12
719	170690	11
720	170692	44
721	170961	3
722	171023	3
723	171024	10
724	1717	45
725	1723	22
726	1727	7
727	1728	40
728	1729	28
729	1730	3
730	1731	23
731	1737	16
732	1738	24
733	1739	14
734	1740	14
735	1741	14
736	1742	14
737	1743	16
738	1756	36
739	1759	37
740	176	3
741	1762	8
742	1763	37
743	1767	35
744	1769	3
745	177	17
746	1778	26
747	178	15
748	1780	24
749	1781	24
750	1783	24
751	1785	37
752	1786	15
753	1793	37
754	1794	36
755	1795	37
756	18	3
757	1804	16
758	1808	32
759	1809	32
760	1819	24
761	1821	3
762	1828	21
763	1832	19
764	1837	10
765	1838	13
766	1845	28
767	1846	36
768	1854	16
769	1855	17
770	1856	17
771	1857	17
772	1859	35
773	1891	12
774	1892	25
775	19	0
776	1901	44
777	191	19
778	1915	32
779	1917	29
780	192111	2
781	192666	13
782	192669	38
783	192683	7
784	1933	21
785	1936	32
786	1937	32
787	1938	22
788	1947	22
789	1948	27
790	1951	3
791	1952	14
792	1954	44
793	1956	0
794	1958	43
795	196051	7
796	196374	13
797	196403	37
798	1965	9
799	1967	42
800	1968	20
801	1969	10
802	197131	32
803	1973	17
804	197322	25
805	197358	44
806	1974	24
807	1975	17
808	1977	36
809	1981	36
810	1982	25
811	1983	44
812	1984	42
813	199223	15
