#communities 
11078	37
27131	11
23199	1222
10724	1219
57489	8
23286	1222
4043	1215
8669	56
28985	303
4356	14
10398	1219
4714	54
4809	11
25934	244
56144	11
27043	1238
10397	114
5424	1315
5481	11
5498	11
1434	283
4841	17
6165	111
6133	1238
3092	11
6189	22
6275	166
6279	11
8878	1219
6804	10
6853	41
7114	18
10155	52
60626	73
7314	41
51168	40
22985	17
55004	299
52	40
309	105
396	1226
25978	12
10072	1292
4709	355
25791	34
55207	143
826	179
4026	234
7542	10
5955	1236
642	19
7203	11
9231	8
5660	214
1123	1229
26289	105
1523	1
3703	356
25874	132
157285	214
1627	23
8655	1257
10570	1220
4733	179
8894	11
2286	18
335	44
55262	357
10658	17
51280	53
23521	111
2936	358
10014	17
311	17
3308	1216
57095	359
10994	19
3735	1238
3757	98
10615	19
57658	1236
3857	360
3897	203
114088	1230
22981	8
3831	1228
51660	228
51025	192
23162	1219
23039	262
4191	291
2901	53
2788	83
4190	14
10769	1282
1967	306
64965	182
4673	17
29959	1226
3991	361
55968	176
23435	1231
6767	1219
79885	362
112840	201
4731	321
6284	204
10419	17
6601	50
23140	363
23761	175
4893	65
23654	84
22839	1282
5621	1277
57143	17
3096	1255
11021	8
4218	1263
4192	1
55638	158
6204	11
22984	19
5478	1293
6429	17
1314	71
112476	162
27067	364
29888	105
26960	105
79735	1229
7280	1238
1855	41
65991	10
55324	299
10476	226
254863	8
11170	19
10949	17
4649	1223
58477	106
1952	1294
1639	1232
54505	175
51412	1238
57017	104
10059	1220
3309	1
1857	1230
23136	1219
2053	244
55160	365
10681	56
10490	33
124801	366
10211	17
2873	17
10817	19
50861	94
57498	17
11345	1236
10916	29
6142	1
4141	367
11031	129
23450	19
4701	223
4857	50
11146	1248
51594	15
6092	67
6194	17
10209	15
55229	203
5127	11
5164	368
2632	369
9796	201
8394	370
3191	283
5223	1232
5662	256
9230	38
22924	1232
5713	8
5867	20
10156	371
4734	41
57003	312
58478	199
6734	1268
29062	17
23558	41
257218	234
28966	1220
26100	156
10440	11
79577	17
7317	41
11171	294
2170	1284
2534	103
641	41
572	1219
6002	164
26003	1235
1072	1259
11083	17
11235	45
23265	19
10313	2
2992	372
2947	373
11007	19
56474	92
3854	18
8996	19
26505	17
26060	1219
1856	1219
3866	18
26086	19
386618	19
1073	1259
4591	19
2130	17
10328	374
8907	19
3983	8
60491	19
1838	19
60	1259
149371	19
3183	17
11252	169
10483	19
5300	1238
3880	18
22954	41
57144	1216
1781	173
10054	36
8623	18
51729	1246
11052	1221
10152	19
327	309
10743	1238
158471	321
5704	1280
3190	17
26128	19
23410	69
10919	19
1854	34
71	1259
23392	1249
6810	10
54474	18
10458	1221
140885	19
11034	1259
5528	52
2670	19
56341	17
11135	1221
1731	79
10521	17
81628	19
10320	19
153733	19
1602	19
5372	180
66036	81
23710	1236
11020	315
5635	101
55198	1216
10900	35
51421	19
541468	19
7531	1219
127703	18
55885	19
389	170
27095	215
4698	57
10428	22
1525	10
140735	1257
2954	17
23157	79
6271	166
3853	18
57326	19
10921	17
10534	11
56243	19
5152	19
26276	375
10982	1232
1315	71
285527	45
1454	1219
10007	17
664	178
51517	1221
57596	19
57142	10
1995	89
1996	33
55577	19
6990	173
5932	1238
27316	17
1780	173
7360	87
10127	42
22978	46
443	376
54472	41
5631	101
1488	1227
23237	277
10456	1272
339965	19
1153	17
682	65
10016	1220
23204	2
445	8
8773	10
26353	19
51760	19
57120	231
5706	17
2107	145
3875	18
5725	58
2752	267
2580	262
23636	19
84864	377
1453	1230
9093	1260
